Nr.;SM Nr.;Fund Nr.;Gefäss Nr.;Masken Nr.;Kartonage Nr.;Grab;Umgebung;Areal;Raum;Abhub;Schnitt/Quadrant;Position/Befund;Befund Vergesellschaftung;Befund Kommentar;Material;Material Zusatz;Objekttyp;Objekttyp Zusatz;Dekoration;Objektbeschreibung;Aufschrift;Datierung 1;Datierung 2;Höhe (cm);Breite (cm);Tiefe (cm);Durchmesser 1 (cm), rim;Durchmesser 2 (cm), body;Brandspuren;Feuchtigkeit;Zeichnung
;40C_Kart_004-A_FK065;;;1;;40;;;C;1;SII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the upper part of the mask, bearing trace of the head-band and of the striped wig. Dekoration: Blue and yellow stripes, polychrome floral head-band. Burn marks: blackened interior side.;;Neues Reich;18 D;10.1;9.3;;;;Verrusst;;
;40C_Kart_004-A_FK050;;;1;;40;;;C;1;SII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the mask front side, trace of the broad collar. Dekoration: Outer band of the polycrome collar made of drop-shaped beads.;;Neues Reich;18 D;2.5;4.2;;;;;;
;40C_Kart_004-094_FK064;;;1;;40;;;C;1;SII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the wig. Dekoration: Blue and yellow stripes.;;Neues Reich;18 D;6.3;6.8;;;;;;
;40C_Kart_005-004_FK042;;;1;;40;;;C;2;SII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the wig. Dekoration: Blue and yellow stripes. Burn marks: blackened interior side.;;Neues Reich;18 D;7.7;6.2;;;;Verrusst;;
;40C_Kart_005-020;;;1;;40;;;C;2;SII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the upper part of the mask, part of the wig and of the head-band. Dekoration: Blue and yellow stripes, polychrome floral head-band.;;Neues Reich;18 D;7.3;6.5;;;;;;
;40C_Kart_005-021;;;1;;40;;;C;2;SII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the wig. Dekoration: Blue and yellow stripes. Burn marks: blackened interior and exterior side.;;Neues Reich;18 D;11.6;11.5;;;;Verrusst;;
;40C_Kart_005-023;;;1;;40;;;C;1;SIII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the wig. Dekoration: Blue and yellow stripes.;;Neues Reich;18 D;3.4;6.8;;;;;;
;40C_Kart_006-002_FK005;;;1;;40;;;C;1;SIII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the front side of the mask18th Dynasty. Dekoration: Yellow neck, blue and yellow stripes of the right lappet of the wig, polychrome collar . Burn marks: some scorch marks on the exterior side.;;Neues Reich;18 D;22;16;;;;Geschmolzen;;
;40C_Kart_006-054;;;1;;40;;;C;1;SIII;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the wig. Dekoration: Blue and yellow stripes. Burn marks: blackened interior and exterior side.;;Neues Reich;18 D;4.9;6.1;;;;Verrusst;;
;40C_Kart_007-A;;;1;;40;;;C;1;SIV;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the front side of the mask, trace of the broad collar. Dekoration: Outer band of the collar consisting of drop-shaped beads.;;Neues Reich;18 D;2.3;6.1;;;;;;
;40C_Kart_007-B ;;;1;;40;;;C;1;SIV;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the front side of the mask, part of the wig. Dekoration: Blue and yellow stripes of the left lappet of the wig. Burn marks: blackened exterior side.;;Neues Reich;18 D;6.5;4.5;;;;Verrusst;;
;40C_Kart_007-005;;;1;;40;;;C;1;SIV;;;;Komposit;Kartonage;;;Bemalt;Fragment of cartonnage from the front side of the mask, part of the face. Dekoration: Yellow painted outer surface.;;Neues Reich;18 D;5.8;4.5;;;;;;
